Provider_ID,MEASURE_DESCRIPTION,mi,ni,pihat,pihat_1,pihat_2,pihat_3,var_within_provider,var_within_provider_1,var_within_provider_2,var_within_provider_3,var_between_provider,alpha_hat_beta_binom,beta_hat_beta_binom,Adams_orig,Adams_1,Adams_2,Adams_3,Fake_provid,HGLM_var_within,tau2,HGLM_R
50146,Adjuvant Chemotherapy Colon Cancer,11,12,0.9166666667,0.8571428571,0.8846153846,0.8233294843,0.0063657407,0.0102040816,0.0085059172,0.0121215037,0.0003943778,77.825410169,2.6765271864,0.0583388882,0.0372108609,0.0443106438,0.0315101896,1,0.2741556778,0.4318,0.61165313
100079,Adjuvant Chemotherapy Colon Cancer,14,14,1,0.9375,0.9666666667,0.894551639,0,0.0041852679,0.0023015873,0.006737786,0.0003943778,77.825410169,2.6765271864,1,0.0861153525,0.1462844603,0.0552956733,2,0.234990581,0.4318,0.6475796334
100271,Adjuvant Chemotherapy Colon Cancer,14,16,0.875,0.8333333333,0.8529411765,0.8,0.0068359375,0.0086805556,0.0078395329,0.01,0.0003943778,77.825410169,2.6765271864,0.0545450348,0.043457928,0.047896779,0.0379414533,3,0.2056167584,0.4318,0.6774217878
220162,Adjuvant Chemotherapy Colon Cancer,29,29,1,0.9677419355,0.9833333333,0.9216934856,0,0.0010764649,0.0005651341,0.0024887795,0.0003943778,77.825410169,2.6765271864,1,0.2681305097,0.4110191861,0.136786781,4,0.1134437287,0.4318,0.7919394158
330154,Adjuvant Chemotherapy Colon Cancer,102,103,0.9902912621,0.980952381,0.9855769231,0.9463145799,0.0000933444,0.0001814059,0.0001380102,0.0004932359,0.0003943778,77.825410169,2.6765271864,0.8086114599,0.6849408953,0.7407713764,0.4443124393,5,0.0319404673,0.4318,0.9311242612
330354,Adjuvant Chemotherapy Colon Cancer,11,13,0.8461538462,0.8,0.8214285714,0.7709937132,0.010013655,0.0123076923,0.0112833595,0.0135817236,0.0003943778,77.825410169,2.6765271864,0.0378916754,0.0310483092,0.033771765,0.0282180121,6,0.2530667795,0.4318,0.6304875823
360242,Adjuvant Chemotherapy Colon Cancer,25,26,0.9615384615,0.9285714286,0.9444444444,0.8858642551,0.0014223942,0.0025510204,0.0020180437,0.0038887991,0.0003943778,77.825410169,2.6765271864,0.2170761139,0.1338962585,0.1634779836,0.0920760009,7,0.1265333898,0.4318,0.7733730562
390196,Adjuvant Chemotherapy Colon Cancer,28,28,1,0.9666666667,0.9827586207,0.9205277292,0,0.0011507937,0.0006051469,0.0026127296,0.0003943778,77.825410169,2.6765271864,1,0.2552323885,0.3945653235,0.131148558,8,0.1174952905,0.4318,0.7860981288
450076,Adjuvant Chemotherapy Colon Cancer,53,55,0.9636363636,0.9473684211,0.9553571429,0.9085477908,0.000637115,0.0009065727,0.0007754522,0.0015107037,0.0003943778,77.825410169,2.6765271864,0.3823369573,0.3031459034,0.337124019,0.2070136124,9,0.0598157842,0.4318,0.878328186
500138,Adjuvant Chemotherapy Colon Cancer,16,16,1,0.9444444444,0.9705882353,0.9,0,0.003279321,0.0017841696,0.005625,0.0003943778,77.825410169,2.6765271864,1,0.1073516972,0.1810278762,0.0655180341,10,0.2056167584,0.4318,0.6774217878
